dataset,numelements,load_factor,hash,reducer,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key
books_200M_uint32,199999999,0.750000,murmur3_fin64,branchless_fast_modulo,0,10,1.000036,125967621,0.472379,46230017,0.173363,105530972,0.527655,8763811756,43.819059
books_200M_uint32,199999999,1.000000,xxh3,branchless_fast_modulo,0,12,1.000048,73583629,0.367918,52853111,0.264266,126436740,0.632184,9501686858,47.508435
books_200M_uint32,199999999,1.000000,xxh3_128_low,fastrange32,0,11,1.000278,73597422,0.367987,52848601,0.264243,126446023,0.632230,8166476607,40.832383
books_200M_uint32,199999999,0.750000,xxh64,fastrange32,0,10,1.000144,125981347,0.472430,46236681,0.173388,105551362,0.527757,9545377835,47.726889
books_200M_uint32,199999999,1.000000,xxh3_128_low,fastrange64,0,11,0.999979,73575513,0.367878,52846991,0.264235,126422504,0.632113,8251092989,41.255465
books_200M_uint32,199999999,0.750000,xxh64,fastrange64,0,10,1.000039,125970892,0.472391,46232525,0.173372,105536751,0.527684,9481129590,47.405648
books_200M_uint32,199999999,1.000000,xxh3_128_low,branchless_fast_modulo,0,11,1.000087,73581426,0.367907,52847842,0.264239,126429268,0.632146,8782824975,43.914125
books_200M_uint32,199999999,0.750000,xxh64,branchless_fast_modulo,0,10,1.000017,125969746,0.472387,46232812,0.173373,105535892,0.527679,10802506795,54.012534
books_200M_uint32,199999999,1.000000,xxh3_128_upp,fastrange32,0,11,1.000242,73591242,0.367956,52845968,0.264230,126437210,0.632186,7190382119,35.951911
books_200M_uint32,199999999,0.750000,xxh3,fastrange32,0,10,1.000091,125973633,0.472401,46231527,0.173368,105538494,0.527692,9324002919,46.620015
books_200M_uint32,199999999,1.000000,xxh3_128_upp,fastrange64,0,12,0.999931,73573722,0.367869,52851775,0.264259,126425497,0.632127,7455610002,37.278050
books_200M_uint32,199999999,0.750000,xxh3,fastrange64,0,10,0.999980,125960489,0.472352,46224920,0.173343,105518743,0.527594,8937509405,44.687547
books_200M_uint32,199999999,1.000000,xxh3_128_upp,branchless_fast_modulo,0,11,1.000069,73580773,0.367904,52850503,0.264253,126431276,0.632156,8763976175,43.819881
books_200M_uint32,199999999,0.750000,xxh3,branchless_fast_modulo,0,9,0.999965,125963251,0.472362,46230226,0.173363,105526811,0.527634,10264719895,51.323600
books_200M_uint32,199999999,1.000000,xxh3_128_xor,fastrange32,0,11,1.000253,73593308,0.367967,52845377,0.264227,126438685,0.632193,9348329700,46.741649
books_200M_uint32,199999999,0.750000,xxh3_128_low,fastrange32,0,10,1.000145,125979114,0.472422,46231729,0.173369,105544177,0.527721,7860241295,39.301207
books_200M_uint32,199999999,1.000000,xxh3_128_xor,fastrange64,0,12,1.000047,73580820,0.367904,52850744,0.264254,126431564,0.632158,8367160813,41.835804
books_200M_uint32,199999999,0.750000,xxh3_128_low,fastrange64,0,10,0.999973,125960416,0.472352,46224194,0.173341,105517944,0.527590,8493919741,42.469599
books_200M_uint32,199999999,1.000000,xxh3_128_xor,branchless_fast_modulo,0,11,0.999953,73569566,0.367848,52845393,0.264227,126414959,0.632075,10754395602,53.771978
books_200M_uint32,199999999,0.750000,xxh3_128_low,branchless_fast_modulo,0,10,1.000034,125969932,0.472387,46231332,0.173367,105534598,0.527673,9517525383,47.587627
books_200M_uint32,199999999,1.000000,xxh3_128_city,fastrange32,0,12,1.000265,73594345,0.367972,52849943,0.264250,126444288,0.632221,10969907857,54.849540
books_200M_uint32,199999999,0.750000,xxh3_128_upp,fastrange32,0,10,1.000166,125982191,0.472433,46237484,0.173391,105553009,0.527765,7781564178,38.907821
books_200M_uint32,199999999,1.000000,xxh3_128_city,fastrange64,0,11,1.000051,73581041,0.367905,52849632,0.264248,126430673,0.632153,11283353403,56.416767
books_200M_uint32,199999999,0.750000,xxh3_128_upp,fastrange64,0,10,0.999940,125960780,0.472353,46230356,0.173364,105524470,0.527622,7711074951,38.555375
books_200M_uint32,199999999,0.750000,xxh3_128_upp,branchless_fast_modulo,0,10,1.000090,125969352,0.472385,46225859,0.173347,105528545,0.527643,9140729529,45.703648
books_200M_uint32,199999999,1.000000,xxh3_128_city,branchless_fast_modulo,0,11,0.999971,73578023,0.367890,52854140,0.264271,126432163,0.632161,12334550116,61.672751
books_200M_uint32,199999999,1.000000,tabulation_small64,fastrange32,0,9225,3.018947,132523470,0.662617,48317683,0.241588,180841153,0.904206,9928985633,49.644928
books_200M_uint32,199999999,0.750000,xxh3_128_xor,fastrange32,0,10,1.000111,125974834,0.472406,46230922,0.173366,105539090,0.527695,10035023827,50.175119
books_200M_uint32,199999999,1.000000,tabulation_small64,fastrange64,0,9225,3.017568,132503791,0.662519,48336504,0.241683,180840295,0.904201,10303115467,51.515578
books_200M_uint32,199999999,0.750000,xxh3_128_xor,fastrange64,0,10,1.000029,125967612,0.472379,46230953,0.173366,105531899,0.527659,10228586668,51.142934
books_200M_uint32,199999999,1.000000,tabulation_small64,branchless_fast_modulo,0,9225,3.018976,132526183,0.662631,48316325,0.241582,180842508,0.904213,10903706831,54.518534
books_200M_uint32,199999999,0.750000,xxh3_128_xor,branchless_fast_modulo,0,10,1.000022,125967151,0.472377,46228554,0.173357,105529039,0.527645,10967077412,54.835387
books_200M_uint32,199999999,1.000000,tabulation_large64,fastrange32,0,11,1.000226,73593936,0.367970,52848444,0.264242,126442380,0.632212,9276002313,46.380012
books_200M_uint32,199999999,0.750000,xxh3_128_city,fastrange32,0,10,1.000073,125968684,0.472383,46227939,0.173355,105529957,0.527650,11509786541,57.548933
books_200M_uint32,199999999,1.000000,tabulation_large64,fastrange64,0,11,0.999854,73567480,0.367837,52850968,0.264255,126418448,0.632092,9146064619,45.730323
books_200M_uint32,199999999,0.750000,xxh3_128_city,fastrange64,0,10,0.999961,125963501,0.472363,46232117,0.173370,105528952,0.527645,11321914040,56.609570
books_200M_uint32,199999999,1.000000,tabulation_large64,branchless_fast_modulo,0,10,0.999947,73567646,0.367838,52841170,0.264206,126408816,0.632044,10209576339,51.047882
books_200M_uint32,199999999,0.750000,xxh3_128_city,branchless_fast_modulo,0,10,1.000002,125963723,0.472364,46224890,0.173343,105521947,0.527610,13237851668,66.189259
books_200M_uint32,199999999,1.000000,city64,fastrange32,0,10,1.000333,73599901,0.368000,52846902,0.264235,126446803,0.632234,8838704100,44.193521
books_200M_uint32,199999999,1.000000,city64,fastrange64,0,11,1.000021,73574761,0.367874,52845998,0.264230,126420759,0.632104,9676386819,48.381934
books_200M_uint32,199999999,0.750000,tabulation_small64,fastrange32,0,9225,3.018883,195842258,0.734408,49584943,0.185944,178760535,0.893803,10412163464,52.060818
books_200M_uint32,199999999,1.000000,city64,branchless_fast_modulo,0,11,0.999946,73569559,0.367848,52842066,0.264210,126411625,0.632058,11386905684,56.934529
