dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
books_200M_uint64,200000000,1.000000,pgm_eps128,min_max_cutoff,0.010000,0,26033,11.210083,198001466,0.990007,1998516,0.009993,199999982,1.000000,258673723,1.293369,140519465,0.702597,36706510,0.183533,20862152452,104.310762,21298052150,106.490261
books_200M_uint64,200000000,0.750000,pgm_eps128,min_max_cutoff,0.010000,0,26033,11.221228,264668132,0.992505,1998516,0.007494,199999982,1.000000,279100441,1.395502,148801874,0.744009,37899589,0.189498,21827983441,109.139917,22293785345,111.468927
books_200M_uint64,200000000,1.000000,pgm_eps16,min_max_cutoff,0.010000,0,4022,11.327340,198016665,0.990083,1983310,0.009917,199999975,1.000000,245487944,1.227440,140795302,0.703977,46332586,0.231663,21779734293,108.898671,22212350125,111.061751
books_200M_uint64,200000000,0.750000,pgm_eps16,min_max_cutoff,0.010000,0,4022,11.338370,264683331,0.992562,1983310,0.007437,199999975,1.000000,276955651,1.384778,144473512,0.722368,54643225,0.273216,23133155247,115.665776,23609227635,118.046138
books_200M_uint64,200000000,1.000000,pgm_hash_eps128,min_max_cutoff,0.010000,0,1544,1.702185,97771823,0.488859,36549940,0.182750,134321763,0.671609,241381987,1.206910,140133437,0.700667,37400732,0.187004,20601373108,103.006866,21020289264,105.101446
books_200M_uint64,200000000,0.750000,pgm_hash_eps128,min_max_cutoff,0.010000,0,1543,1.625770,152846794,0.573175,34687538,0.130078,120867666,0.604338,338778753,1.693894,142472825,0.712364,37592287,0.187961,21440121388,107.200607,21958965253,109.794826
books_200M_uint64,200000000,1.000000,pgm_hash_eps16,min_max_cutoff,0.010000,0,555,1.693777,97572100,0.487860,36674401,0.183372,134246501,0.671233,245987830,1.229939,140394054,0.701970,50348303,0.251742,20933419000,104.667095,21370149187,106.850746
books_200M_uint64,200000000,0.750000,pgm_hash_eps16,min_max_cutoff,0.010000,0,554,1.615870,152471300,0.571767,34743843,0.130289,120548477,0.602742,283221201,1.416106,144473589,0.722368,48735414,0.243677,21263513625,106.317568,21739943829,108.699719
books_200M_uint64,200000000,1.000000,pgm_eps128,min_max_cutoff,0.100000,0,2659,4.151758,180310791,0.901554,18306656,0.091533,198617447,0.993087,2815917502,14.079588,1631457292,8.157286,376549734,1.882749,19194159152,95.970796,24018083680,120.090418
books_200M_uint64,200000000,0.750000,pgm_eps128,min_max_cutoff,0.100000,0,2659,4.181757,246977457,0.926165,18306656,0.068650,198617447,0.993087,2569773472,12.848867,1589030735,7.945154,367355730,1.836779,20448224149,102.241121,24974384086,124.871920
books_200M_uint64,200000000,1.000000,pgm_eps16,min_max_cutoff,0.100000,0,479,4.081049,180526457,0.902632,18120186,0.090601,198646643,0.993233,2763216324,13.816082,1618299204,8.091496,503332659,2.516663,25928936954,129.644685,30813785141,154.068926
books_200M_uint64,200000000,0.750000,pgm_eps16,min_max_cutoff,0.100000,0,479,4.111564,247193123,0.926974,18120186,0.067951,198646643,0.993233,2698853325,13.494267,1617066893,8.085334,505590071,2.527950,27433858082,137.169290,32255368371,161.276842
books_200M_uint64,200000000,1.000000,pgm_hash_eps128,min_max_cutoff,0.100000,0,450,1.689143,97185237,0.485926,36564955,0.182825,133750192,0.668751,2799190032,13.995950,1638968512,8.194843,385172941,1.925865,19507018126,97.535091,24330349611,121.651748
books_200M_uint64,200000000,0.750000,pgm_hash_eps128,min_max_cutoff,0.100000,0,450,1.612321,152122043,0.570458,34604379,0.129766,120059756,0.600299,2889598451,14.447992,1634840108,8.174201,380381573,1.901908,20299443044,101.497215,25204263176,126.021316
books_200M_uint64,200000000,1.000000,pgm_hash_eps16,min_max_cutoff,0.100000,0,245,1.693617,97676425,0.488382,36747512,0.183738,134423937,0.672120,2831889963,14.159450,1641454148,8.207271,506105085,2.530525,24302530488,121.512652,29281979684,146.409898
books_200M_uint64,200000000,0.750000,pgm_hash_eps16,min_max_cutoff,0.100000,0,246,1.615365,152559553,0.572098,34822161,0.130583,120715048,0.603575,2693834102,13.469171,1623447111,8.117236,505897563,2.529488,24507739880,122.538699,29330918656,146.654593
books_200M_uint64,200000000,1.000000,pgm_eps128,min_max_cutoff,1.000000,0,255,1.853862,97571334,0.487857,36394191,0.181971,133965525,0.669828,1954471032,9.772355,19617890710,98.089454,6020174999,30.100875,30837300834,154.186504,58429837575,292.149188
books_200M_uint64,200000000,0.750000,pgm_eps128,min_max_cutoff,1.000000,0,255,1.920105,164238000,0.615893,36394191,0.136478,133965525,0.669828,5085855029,25.429275,21871636871,109.358184,4708885712,23.544429,31476368898,157.381844,63142746510,315.713733
books_200M_uint64,200000000,1.000000,pgm_eps16,min_max_cutoff,1.000000,0,33,1.710657,97356293,0.486781,36599265,0.182996,133955558,0.669778,4242050980,21.210255,19574822504,97.874113,10035973862,50.179869,58365395313,291.826977,92218242659,461.091213
books_200M_uint64,200000000,0.750000,pgm_eps16,min_max_cutoff,1.000000,0,33,1.782231,164022958,0.615086,36599265,0.137247,133955557,0.669778,4356051497,21.780257,21556402522,107.782013,6143389110,30.716946,68512478026,342.562390,100568321155,502.841606
books_200M_uint64,200000000,1.000000,pgm_hash_eps128,min_max_cutoff,1.000000,0,247,1.689320,97279923,0.486400,36627712,0.183139,133907635,0.669538,5244168407,26.220842,19866252536,99.331263,5269651776,26.348259,22372544059,111.862720,52752616778,263.763084
books_200M_uint64,200000000,0.750000,pgm_hash_eps128,min_max_cutoff,1.000000,0,246,1.611918,152186722,0.570700,34669431,0.130010,120189487,0.600947,5206836702,26.034184,21043735304,105.218677,3963817237,19.819086,23626653724,118.133269,53841042967,269.205215
books_200M_uint64,200000000,1.000000,pgm_hash_eps16,min_max_cutoff,1.000000,0,33,1.654247,96183296,0.480916,37175313,0.185877,133358609,0.666793,5948048184,29.740241,19877968705,99.389844,5173380854,25.866904,40546211932,202.731060,71545609675,357.728048
books_200M_uint64,200000000,0.250000,pgm_eps128,min_max_cutoff,0.001000,0,78141,32.617734,799800250,0.999750,199750,0.000250,200000000,1.000000,509306380,2.546532,14020723,0.070104,5288805,0.026444,21821356560,109.106783,22349972468,111.749862
books_200M_uint64,200000000,0.750000,pgm_hash_eps16,min_max_cutoff,1.000000,0,33,1.579460,150890848,0.565841,35032996,0.131374,119257178,0.596286,5577521100,27.887606,18860427413,94.302137,5184735029,25.923675,50769222446,253.846112,80391905988,401.959530
books_200M_uint64,200000000,0.500000,pgm_eps128,min_max_cutoff,0.001000,0,78141,32.613902,399800250,0.999501,199750,0.000499,200000000,1.000000,626891230,3.134456,12770847,0.063854,4513272,0.022566,20146425560,100.732128,20790600909,103.953005
books_200M_uint64,200000000,0.250000,pgm_eps16,min_max_cutoff,0.001000,0,35735,35.249558,799801308,0.999752,198692,0.000248,200000000,1.000000,826688967,4.133445,16586825,0.082934,12900707,0.064504,27744677258,138.723386,28600853757,143.004269
books_200M_uint64,200000000,0.500000,pgm_eps16,min_max_cutoff,0.001000,0,35735,35.246012,399801308,0.999503,198692,0.000497,200000000,1.000000,31010676,0.155053,13218273,0.066091,7276046,0.036380,33839451230,169.197256,33890956225,169.454781
