dataset,numelements,model,reducer,sample_size,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
books_200M_uint32,199999999,pgm_hash_eps4_epsrec0,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,823519226,4.117596,62551282833,312.756416,83034533720,415.172671,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,909140852,4.545704,31768303827,158.841519,51853637188,259.268186,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,1006504522,5.032523,42239412734,211.197064,62422109765,312.110549,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,516255453,2.581277,21805064135,109.025321,41497512097,207.487560,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,611838572,3.059193,24560008224,122.800041,44348039305,221.740197,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,719083482,3.595417,32167754651,160.838773,52063030642,260.315153,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,1072684757,5.363424,46272670717,231.363354,66521547983,332.607740,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,562118674,2.810593,19610614705,98.053074,39348925888,196.744629,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,531636956,2.658185,27803244662,139.016223,47511074127,237.555371,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,640700612,3.203503,38374850985,191.874255,58191744106,290.958721,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,953314683,4.766573,64748811439,323.744057,84878318631,424.391593,10
