dataset,numelements,model,reducer,sample_size,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
books_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,0.001000,12485065,0.062425,9438439,0.047192,2227627,0.011138,3834432983,19.172165,3858584114,19.292921,
books_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,0.010000,93632496,0.468162,104770058,0.523850,9399487,0.046997,3935212380,19.676062,4143014421,20.715072,
books_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,0.100000,1064322594,5.321613,1289724720,6.448624,76921610,0.384608,6338793596,31.693968,8769762520,43.848813,
books_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,1.000000,556063403,2.780317,14648660521,73.243303,666015775,3.330079,6979908072,34.899540,22850647771,114.253239,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.001000,10442259,0.052211,9371262,0.046856,1637858,0.008189,12382591249,61.912956,12404042628,62.020213,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.010000,111631142,0.558156,109479140,0.547396,14973632,0.074868,17620723623,88.103618,17856807537,89.284038,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.100000,1086866797,5.434334,1259093025,6.295465,121786504,0.608933,29341034485,146.705172,31808780811,159.043904,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,1.000000,599808486,2.999042,15170480063,75.852400,1440456902,7.202285,79678622567,398.393113,96889368018,484.446840,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,0.001000,12425550,0.062128,9377719,0.046889,1898807,0.009494,8322270579,41.611353,8345972655,41.729863,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,0.010000,102162260,0.510811,106649031,0.533245,16324575,0.081623,10718375378,53.591877,10943511244,54.717556,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,0.100000,1093976294,5.469881,1273371864,6.366859,127519913,0.637600,15854663210,79.273316,18349531281,91.747656,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,1.000000,544208805,2.721044,14561823166,72.809116,1602325762,8.011629,42480143284,212.400716,59188501017,295.942505,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,0.001000,11250534,0.056253,8815459,0.044077,2238176,0.011191,6725691384,33.628457,6747995553,33.739978,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,0.010000,102857389,0.514287,111142874,0.555714,16845151,0.084226,9673822420,48.369112,9904667834,49.523339,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,0.100000,1238359333,6.191797,1304503779,6.522519,158563905,0.792820,14791023023,73.955115,17492450040,87.462250,
books_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,1.000000,523877766,2.619389,15110690397,75.553452,1564504742,7.822524,28459798036,142.298990,45658870941,228.294355,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,0.001000,12073028,0.060365,9424979,0.047125,1209533,0.006048,4607255368,23.036277,4629962908,23.149815,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,0.010000,92361192,0.461806,111772946,0.558865,9451467,0.047257,7007157368,35.035787,7220742973,36.103715,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,0.100000,1109287295,5.546436,1270181444,6.350907,77737019,0.388685,11008039897,55.040199,13465245655,67.326228,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,1.000000,545786400,2.728932,14624622798,73.123114,801747072,4.008735,17899710870,89.498554,33871867140,169.359336,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,0.001000,10221856,0.051109,8794009,0.043970,1290744,0.006454,4737224332,23.686122,4757530941,23.787655,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,0.010000,88889875,0.444449,104420664,0.522103,9671698,0.048358,6670016657,33.350083,6872998894,34.364994,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,0.100000,1153569910,5.767850,1259832835,6.299164,76010802,0.380054,7383797134,36.918986,9873210681,49.366053,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,1.000000,567282087,2.836410,14629936966,73.149685,767264407,3.836322,10906894839,54.534474,26871378299,134.356891,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,0.001000,10422915,0.052115,9378734,0.046894,1257453,0.006287,5279328315,26.396642,5300387417,26.501937,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,0.010000,101703625,0.508518,111572227,0.557861,10132458,0.050662,5928227292,29.641136,6151635602,30.758178,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,0.100000,1021541163,5.107706,1284259376,6.421297,78149731,0.390749,6705745539,33.528728,9089695809,45.448479,
books_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,1.000000,539912378,2.699562,14565483556,72.827418,779141789,3.895709,11304380733,56.521904,27188918456,135.944592,
books_200M_uint64,200000000,pgm_hash_eps8_epsrec4,min_max_cutoff,0.001000,10934800,0.054674,8828873,0.044144,2467157,0.012336,6512967993,32.564840,6535198823,32.675994,
books_200M_uint64,200000000,pgm_hash_eps8_epsrec4,min_max_cutoff,0.010000,104647796,0.523239,111836594,0.559183,22007582,0.110038,7370407187,36.852036,7608899159,38.044496,
books_200M_uint64,200000000,pgm_hash_eps8_epsrec4,min_max_cutoff,0.100000,1113994925,5.569975,1258891167,6.294456,132145866,0.660729,11103513311,55.517567,13608545269,68.042726,
books_200M_uint64,200000000,pgm_hash_eps8_epsrec4,min_max_cutoff,1.000000,593774475,2.968872,14801512973,74.007565,1396130321,6.980652,20510141451,102.550707,37301559220,186.507796,
fb_200M_uint64,200000000,pgm_eps128_epsrec4,min_max_cutoff,0.001000,12070775,0.060354,9450764,0.047254,1918784,0.009594,3330636839,16.653184,3354077162,16.770386,
fb_200M_uint64,200000000,pgm_eps128_epsrec4,min_max_cutoff,0.010000,92315772,0.461579,105025317,0.525127,16080440,0.080402,3982085162,19.910426,4195506691,20.977533,
fb_200M_uint64,200000000,pgm_eps128_epsrec4,min_max_cutoff,0.100000,958923557,4.794618,1302421522,6.512108,151668001,0.758340,9088210726,45.441054,11501223806,57.506119,
fb_200M_uint64,200000000,pgm_eps128_epsrec4,min_max_cutoff,1.000000,530556376,2.652782,14946135691,74.730678,1343333195,6.716666,14186956625,70.934783,31006981887,155.034909,
fb_200M_uint64,200000000,pgm_eps16_epsrec4,min_max_cutoff,0.001000,11701538,0.058508,8836263,0.044181,3320028,0.016600,6382275517,31.911378,6406133346,32.030667,
